Импетиго,Поверхностное гнойничковое заболевание кожи.
Трасология,"Криминалистическое учение о следах, один из центральных разделов криминалистической техники, в котором изучаются теоретические основы и закономерности возникновения следов, отражающих механизм совершения преступления."
Центромера,"Участок хромосомы, соединяющий сестринские хроматиды."
Контражур,Расположение основного источника света позади изображаемого объекта.
Тантамареска,"Стенд для фотографирования. Обычно это ростовая фигура со специальным вырезом — отверстием для лица (рук, ног) с изображением персонажей в разнообразных позах и ситуациях на фоне экзотических пейзажей и интерьеров."
Эскейпер,"человек, который бежит от реальности в иллюзорный мир."
Странгуляция,"Ущемление, перекрытие путём сдавливания какого-либо отверстия, например, дыхательных путей, кровеносного сосуда или отдела желудочно-кишечного тракта."
Пароксизм,болезненный припадок или бурное душевное возбуждение
Мерканти́льный,"мелочно-расчетливый, торгашеский
"
Генезиз,"происхождение, возникновение"
Епитимья,"У верующих: церковное наказание (посты, длительные молитвы и т. п.)."
Ольфактометр,"устройство, прибор для измерения остроты обоняния"
Кляуза, мелочная придирчивая жалоба
Керрилизм,"Инстинктивное явление при котором человек переспрашивает вопрос, который прекрасно слышал. Тем самым он берёт больше времени на размышление и формирование ответа."
Клеврет,"Сторонник, приспешник, приверженец, постоянный помощник в каких-либо (обычно неблаговидных) делах"
Гебефрения,"Психическое расстройство, характеризующееся шутовским поведением. Патологическое впадение в детство."
Хтонический,"связанный с царством мертвых, загробным или просто подземным миром."
Полишине́ль, Комический персонаж европейского кукольного театра или карнавала. 
Дезабилье ,"легкая домашняя одежда, не носимая при посторонних; быть в дезабилье - быть не вполне одетым.
"
Статус-кво,правовое положение. Это «текущее или существующее положение дел».
Экивоки,двусмысленные намеки; увертки
Ратра́к,"специальная снегоуплотнительная машина на гусеничном ходу, используемая для подготовки горнолыжных склонов и лыжных трасс"
Экзистенция,"филос. чьё-либо конкретное бытие, существование."
Обструкция,"вид протеста; действия, направленные на срыв публичного мероприятия, заключающиеся в создании разного рода помех и безобразий"
Апогей,"точка орбиты Луны, наиболее удалённая от центра Земли; в переносном значении — высшая точка, расцвет чего-либо."
Прерогатива,"преимущество, исключительное право, исключительная привилегия"
Ойкумена,"пространство на Земле, заселенное человечеством"
Квёло,"слабо, хило"
Деонтология,учение о проблемах морали и нравственности.
Графоман,"бездарный, но плодовитый писатель."
Инкорпорирование,"включение в свой состав, подключение к своим процессам"
Контингент,"Совокупность людей, образующих однородную в каком-нибудь отношении группу; Устанавливаемое для какой-нибудь цели предельное количество."
Жамевю,"состояние, противоположное дежавю, внезапно наступающее ощущение того, что хорошо знакомое место или человек совершенно тебе не известны"
Реноме,"мнение, установившееся о ком-либо; репутация"
Габитус,"Общий облик человека, его телосложение, осанка, одежда. Также это понятие может относится и к внешнему виду животного, растения."
Чокер,"Плотно обхватывающее шею короткое ожерелье. Назван он так из-за того, что плотно прилегает к шее."
Сардонический,"Злобно-насмешливый, язвительный"
Мизантропия,"неприятие, ненависть к человечеству, неприязнь, презрение к «правилам», «моральным ценностям», догматам."
Пустула,"Пузырёк на коже, наполненный гноем."
Релятивизм,проистекает из одностороннего подчёркивания постоянной изменчивости действительности и отрицания относительной устойчивости вещей и явлений
Бихевиори́зм,"направление в психологии человека и животных, буквально — наука о поведении."
Инкубус,"мифологический злой дух в мужском обличии, приходящий женщинам в эротических снах; появление чревато неприятностями"
Биди,"Вид курительного табачного изделия, состоящего из смеси измельченных табачных листьев, табачных жилок и стеблей, завернутой в высушенный лист тенду и обвязанной нитью"
Вагитус,Крик новорожденного ребенка.
Карьеризм,"успешное продвижение в области служебной, социальной, научной и другой деятельности; продвижение вверх по служебной лестнице"
Акцессорный,"дополнительный договор, существующий лишь в связи с другим, главным договором"
Субдепрессия,"снижение настроения, не доходящее до уровня депрессии"
Эста́мп ,"произведение графического искусства, представляющее собой гравюрный либо иной оттиск на бумаге с печатной формы."
Люстра́ция,"вид политической цензуры, практика, состоящая в законодательном ограничении прав некоторых категорий лиц (выделяемых по профессиональным, партийным, религиозным или иным признакам)"
Прецессия,"колебательное движение, которое возникает в результате вращения земли вокруг своей оси"
Абстиненция,"полное воздержание от употребления спиртного, табака, наркотиков и тп"
Реинкарнация,"Переселение человеческой сущности, она же душа, из одного материального тела в другое. Научно не доказано."
Агноним,малоизвестное непонятное слово или оборот речи
Раздрай,"шумный и скандальный разброд в мнениях, поведении"
Верлибр,свободная нерифмованная стихотворная форма
Нивелировать,"уравнивать, усреднять
"
Светоч,"То, что является источником истины, правды, свободы, просвещения."
Эскалация,"постепенное усиление, распространение конфликта, обострение положения."
Аннексия,насильственное присоединение территории другого государства
Криптомнезия,"неспособность человека вспомнить, когда было то или иное событие, во сне или наяву"
Филантроп,"человек, занимающийся благотворительностью в помощь нуждающимся"
Дислекси́я,избирательное нарушение способности к овладению навыком чтения при сохранении общей способности к обучению
Ментор,"Устарелое значение наставника, воспитателя"
Пиетет,"глубокое уважение, почтительное отношение к кому-либо, чему-либо"
Инвестиция,"Долгосрочное вложение капитала в промышленность, сельское хозяйство, транспорт и другие отрасли хозяйства с целью получения прибыли."
Допельга́нгер,"Демонический двойник человека, антитеза ангелу-хранителю. В фэнтези — оборотень, способный с высокой точностью воспроизводить облик и поведение кого-либо."
Резонер,"человек, любящий вести пространные рассуждения, преимущественно нравоучительного характера"
Лапидарный,"предельно краткий, сжатый."
Ипохондрия,"мнительность, доминирующие мысли о наличии неизлечимого или очень тяжелого заболевания."
Харизма,"особая притягательность человека, авторитетность, обусловленная скорее метафизическими свойствами, чем интеллектуальными или нравственными качествами носителя харизмы"
Плеоназм,"оборот речи, не добавляющий никакого смысла в предложении"
Соционика,"Это наука, изучающая процесс обмена информацией между человеком и внешним миром, т.е. каким образом люди воспринимают, перерабатывают и выдают информацию."
Плеяда,группа выдающихся деятелей на каком-либо поприще в одну эпоху
Тезаурус,"Специальные словари, в которых все значения словаря связаны между собой семантическими отношениями."
Апгрейд,"то же, что модернизация, обновление (программного обеспечения, аппаратуры) "
Бестия," плут, пройдоха; ловкий, хитрый человек."
Ресентиме́нт,"Чувство враждебности к тому, что субъект считает причиной своих неудач, бессильная зависть, «тягостное сознание тщетности попыток повысить свой статус в жизни или в обществе»."
Ши́льдик,"информационная табличка, на которой размещены надписи и обозначения, относящиеся к маркируемому изделию. Применяются для этикетирования товаров фирменного изготовления — компьютеров, бытовой и видео/аудиотехники, эксклюзивной косметики, автомобилей."
Экстру́зия,"тип извержения, свойственный вулканам с вязкой лавой"
Ажитация,"сильное эмоциональное возбуждение, сопровождаемое чувством тревоги и страха "
Интерференция,В психологии- взаимоподавление одновременно осуществляющихся психических процессов; обусловлена ограниченным объёмом распределяемого внимания.
Людус,"В Древней Греции так обозначалось чувство, под которым понималась гедонистическая любовь-игра, не отличающаяся глубиной чувства и сравнительно легко допускающаяся возможность измены."
Этатизм,"идеология, утверждающая ведущую роль государства в политической жизни, включая подчинение интересов как отдельных людей, так и групп интересам государства; политика активного вмешательства государства во все сферы общественной и частной жизни."
Бронтофобия,"боязнь грома, молнии, грозы в целом"
Ирритация,"сильное волнение, возбуждение, раздражение."
Такыр,"ровные участки местности в пустынях и полупустынях, почти лишенные растительности, заливаемые водой в весеннее время. 
Поверхностный слой грунта в пределах такыров представлены глинистыми отложениями, преимущественно илом. В летнее время они высыхает, затвердевает и покрывается полигональными трещинами"
Сукцессия,Процесс саморазвития биогеоценоза.
Жеманный,"лишенный непринужденности, естественности, простоты; манерный"
Закомара,"Полукруглое или килевидное завершение верхней части одного прясла стены храма, обычно соответствующее форме внутреннего свода"
Маскот,"первоначально название человека, животного или объекта, приносящего удачу 
— сейчас это практически любой персонаж, человекоподобный и не очень, представляющий некий коллектив."
Перкуссиони́ст,"музыкант, играющий на ударных музыкальных инструментах.

В профессиональном лексиконе перкуссионистами чаще всего называют ударников, играющих на различных мелких ударных инструментах: ручных, этнических (народных) или оркестровых."
Анаэробы,"организмы, способные жить и развиваться в отсутствие свободного кислорода."
Экслибрис,"Эксли́брис (от лат. ex libris — «из книг») — книжный знак, наклеиваемый владельцами библиотек на книгу, преимущественно на внутреннюю сторону переплета. "
Витальность,"жизненность, проявление жизни"
Анагога,"прием раскрытия и доказательства существования недоступного для непосвященных смысла слова, текста или его части"
Танатофобия,навязчивый страх смерти
Пе́плум,"Жанр исторического кино, для которого характерно использование античных или библейских сюжетов, больша́я продолжительность фильма, масштабность."
Апофени́я,"переживание, заключающееся в способности видеть структуру или взаимосвязи в случайных или бессмысленных данных."
Акафист,"Жанр православной церковной гимнографии, представляющий собой благодарственное пение, посвященную тому или иному святому."
Паттерн,"Закономернуая регулярность, встречающаяся в природе и в человеческом дизайне, а также повторяющийся шаблон, образец"
Куафер,"Куафер-он же цирюльник,он же брадобрей...
Слово ""куафер"" пришло к нам из далекого,древнего,и могучего русского языка,и именно так в старину называли парикмахеров..."
Истеблишмент,"власть имущие, правящие круги, политическая элита; совокупность людей, занимающих ключевые позиции в социально-политической системе"
Гаптофобия ,боязнь прикосновений других людей
Атавизм,"появление у человека, животных или растений признаков, свойственных их отдалённым предкам."
Палимпсест,"древняя рукопись, обычно пергаментная, с которой стерт первоначальный текст и на его месте написан новый"
Сфи́нктер,клапанное устройство для перехода вещества из одного органа в другой
Маскулинность,"Комплекс телесных, психических и поведенческих особенностей"
Афазия,системное нарушение уже сформировавшейся речи
Абстрагировался,Отвлечься мысленно от чего-либо.
Сексо́мния,"расстройство психики, при котором человек во время сна занимается сексом или проявляет другую сексуальную активность"
Гомогенный,"однородный, измельченный до такого состояния, что частички не отличаются друг от друга размерами"
Базофобия,"навязчивый страх, боязнь ходьбы"
Лупанарий,публичный дом
Фо́ртель,"Ловкая проделка, неожиданная выходка"
Афтершо́к,"Повторный сейсмический толчок, менее интенсивный, чем главный сейсмический удар."
Трансмиссия,Система устройств для передачи на расстояние механической энергии и для распределения ее по местам потребления.
Фрамуга,"горизонтальная верхняя створка окна, боковая или верхняя створка двери"
Апперцепция,Зависимость восприятия от личного прошлого опыта и индивидуальных особенностей.
Трискаидекафобия,"боязнь числа «13», основанная на предрассудках"
Мизансцена,расположение актёров в тот/иной момент спектакля.
Физиология,Наука о жизнедеятельности целостного организма и отдельных его частей 
Пауперизация,"массовое обнищание, нищета"
Азотемия,"присутствие в организме излишнего количества азота, при нормальном состоянии выводимого наружу с мочой. Наступает при некоторых заболеваниях почек."
Пранк,"Телефонное хулиганство, телефонный розыгрыш."
Анальгетики,"Препараты, которые уменьшают боль."
Фанабе́рия,"Спесь, необоснованная гордыня, напыщенность, звездная болезнь. В русский язык слово пришло из польского, а туда — из идиша."
Эпиго́нство,"Подражательная, лишенная творческой оригинальности деятельность в какой-нибудь интеллектуальной сфере "
Начётничество,"знания, основанные на некритическом усвоении прочитанного"
Жантильность,"Нежность, умиление в произношении, чтоб подчеркнуть мягкость"
Схоластика,"оторванное от жизни умствование; изначально учение, сочетавшее в себе религиозно-догматические идеи и рациональные методы познания"
Редукция,"переход от сложного к простому, ослабление чего-либо"
Дактилология,форма речи использующая пальцы руки
Депозит,"Какие-либо ценности, активы, размещенные в специализированной организации."
Аккола́да,Одна из частей средневекового обряда посвящения в рыцари или принятия в рыцарский орден.
Лакшми,"богиня изобилия, процветания, богатства, удачи и счастья"
Депонирование,процесс организованного хранения чего-либо
Никтофобия,страх перед ночью и бессонницей
Зиккурат ,многоступенчатое культовое сооружение.
Навмахия,"гладиаторское морское сражение в
Древнем Риме"
Флоэмы,Длинные волокна на кожуре от банана.
Адгезия,связь между разнородными телами при их контакте.
Фальсифика́ция,"Подделка, выдаваемая за настоящую вещь, изменение(обычно с корыстной целью) вида или свойства предметов."
Антагони́ст,"Нечто, действующее противоположным образом, также соперник."
Мондиализм,проект по установлению мирового правительства.
Лю́верс,"также его разновидность блочка — металлическая или пластиковая втулка, устанавливаемая в кожгалантерейные, обувные швейные и другие изделия, бумагу для укрепления краёв отверстий, использующихся для продевания верёвок, шнуров, тесьмы, тросов и т. д.; по сути, является разновидностью заклёпки с отверстием."
Трепанация,хирургическая операция образования отверстия в костной ткани черепа с целью доступа к подлежащей полости
Хиатус,перерыв в показе регулярной телевизионной программы
Чета,"Пара, два предмета, муж и жена, возлюбленные. "
Каузальный,"причинный, связанный с взаимообусловленностью событий во времени"
Сантименты,"чувства; проявление излишней чувствительности в словах, поступках"
Какафония,"негармоническое, режущее слух сочетание звуков; неблагозвучие (в музыке, стихах)"
Семантика,в языкознании исследование смыслового наполнения единиц языка
Аподиктический,"безусловно достоверный, основанный на необходимости, неопровержимый."
Штрейкбрехерство,"предательство интересов. Штрейкбрехер – человек, согласившийся работать в период забастовки, тем самым, срывая ее."
Консенсус,"договоренность, согласие по поводу условий осуществления операции, деятельности, в которых заинтересованы несколько сторон"
Идея фикс,"некая идея, полностью поглотившая человека"
Аденоиды,Опухолевидные разрастания носоглоточных миндалин
Ангст,"постоянное состояние смертного, в прямом смысле слова, страха и тоски"
Коннотация,"дополнительное значение чего-либо, вторичное, сопутствующее"
Нейтралитет,"Отношение к сложившейся ситуации, выраженное в отсутствии  приоритетов в таковой"
Апория,"это вымышленная, логически верная, ситуация или суждение, которое тем не менее не может существовать в реальности"
Инвентаризация,проверка наличия имущества организации и состояния её финансовых обязательств на определённую дату путём сличения фактических данных с данными бухгалтерского учёта
 гештальт,"форма или образ, как некие целостные образования и первооснова психики."
Персистенция,Способность глаза соединять быстро сменяющиеся изображения в одно
Верминофобия,"одна из фобий в психиатрии, боязнь заражения какой-нибудь болезнью микроорганизмов, бактерий, микробов и вирусов, червей, насекомых"
Грумминг,уход за домашними животными
Апломб,Высокомерная самоуверенность в поведенческом стиле.
Парапетазма,Занавес (обычно театральный).
Кроссинговер,"Явление перекрёста хромосом, при котором гомологичные хромосомы наследуются преимущественно вместе. "
Аперитив,"напиток, подаваемый перед едой и вызывающий аппетит, слюноотделение и улучшающий пищеварение."
Омнибус,"Многоместная (15—20 мест) повозка на конной тяге. Вид городского общественного транспорта, характерный для второй половины XIX века."
Мимесис,"категория эстетики, которая объясняет искусство как подражание природе"
Мемомагнетика,коллекционирование магнитиков на холодильник
Биом,Совокупность экосистем одной природно-климатической зоны
Офиофобия,Боязнь змей
Апотропей,"в археологии и этнографии название предметов и изображений, которым приписывалась магическая способность отгонять злых д"
Аскеза,"Духовная практика,в основе которой лежит самоограничение,воздержание,и закалка какой либо черты характера."
Снóрклинг,"вид плавания под поверхностью воды с маской и дыхательной трубкой и, обычно, с ластами"
Конклюдентность,"Действия лица, выражающие его намерение, но не в форме устного или письменного волеизъявления, а поведением, по которому можно сделать заключение о таком намерении."
Аффект,"состояние внезапно возникшего сильного душевного волнения, снижающее способность лица понимать значение своих действий или руководить ими."
Суррогат,неполноценный заменитель чего-либо
Прецизионный,Обладающий высокой точностью или созданный с соблюдением высокой точности параметров
Макиавеллизм,"Политика, использующая для достижения цели любые средства, включая насилие, обман и т. п.; изощрённое коварство, вероломство."
Факси́миле,"воспроизведение любого графического оригинала — рукописи, рисунка, чертежа, гравюры, подписи, монограммы, — передающее его вполне точно, со всеми подробностями"
Сноб,"человек, восхищающийся высшим обществом и тщательно подражающий манерам и вкусам высшего общества."
Морганатический,неравноценный брак с точки зрения знатности
Гносеология ," Теория познания, основная часть философии, рассматривающая условия и пределы возможности достоверного знания. "
Индульге́нция,"отпущение грехов, в которых грешник покаялся"
Амбидекстри́я,врождённое или выработанное в тренировке равное развитие функций обеих рук без выделения ведущей руки
Контекст,"обстоятельства, от которых зависит восприятие происходящих событий"
Апологет,"ярый приверженец и активный защитник какой-либо идеи, мнения, теории, чрезмерно и предвзято их восхваляющий"
Каллиопа,"музыкальный инструмент, сконструированный в 19 в. в США и названный по имени музы эпической поэзии. "
Дистинкция,"отвержение, негатизация противоположного пола"
Утри́ровать,"специально преувеличивать смысл чего-либо с целью обратить внимание на то, что кажется главным"
Эйдетизм,"Способность исключительно точно изображать и описывать предметы, увиденные ранее"
А́льтер-э́го,"Реальная или придуманная альтернативная личность человека. Это может быть лирический герой, образ, закрепившийся за псевдонимом, наместник или даже одна из множества личностей, появившихся в результате психического расстройства."
Сирин,В древнерусском искусстве и легендах райская птица с головой девы.
Дивергент,"Отличающийся, другой, расходящийся"
Превенти́вный,"Предупреждающий, предохранительный, опережающий чьи-либо действия."
Ана́фора,"стилистическая фигура, состоящая в повторении сродных звуков, сло́ва или группы слов в начале каждого параллельного ряда, то есть в повторении начальных частей двух и более относительно самостоятельных отрезков речи."
Бутсы,"Cпециальная обувь, предназначенная для игры в футбол. Главным отличием от обычной обуви является наличие шипов на подошве. "
Обелус,знак деления в арифметике
Трансинтеграция,"Запредельная интеграция,неосознаваемая,подсознательная интеграция сознания на неясной основе."
Дайджест,"периодическое издание, перепечатывающее материалы других изданий в сокращённом виде."
Укуле́ле,"гавайская гитара, небольшой четырехструнный щипковый музыкальный инструмент, по форме напоминающий гитару"
Лорнет,оптическое стеклышко в оправе или чаще складные очки в оправе с ручкой.
Де-ю́ре,"юридически, на основании законного акта"
Петричор,"Аромат, остающийся в воздухе после того, как пройдёт дождь."
Лабильность,"способность изменяться, неустойчивость, подвижность физического или эмоциального состояния человека."
Каподастр,"зажим, использующийся в струнно-щипковых инструментах (гитара, балалайка, мандолина)"
Авта́рки́я," система замкнутого воспроизводства сообщества, с минимальной зависимостью от обмена с внешней средой"
Гибридизация,"Это процесс создания гибридов из двух отличающихся по генотипу родительских организмов, размножающихся половым путём."
Гренаде́ры,"отборные части пехоты и/или кавалерии, изначально предназначенные для штурма вражеских укреплений, преимущественно в осадных операциях. "
Мантикора,"вымышленное существо — чудовище с телом красного льва, головой человека и хвостом скорпиона"
Апоптоз,Процесс самоуничтожения клетки в организме.
Эзотери́зм,"Совокупность особых способов восприятия реальности, имеющих тайное содержание и выражение в «психодуховных практиках»."
Аттический,"изысканный, утончённый"
Цугундер,Место лишения свободы.
Детерминация,причинное обусловливание явлений и процессов
Карамбо́ль,"Разновидность игры в бильярд, при которой не нужно забивать шары в лузы."
Борборигмус,Урчание в животе
Эглет,металлический или пластиковый наконечник шнурка
Шовини́зм,"идеология, суть которой заключается в проповеди национального превосходства"
Инсургент,участник вооруженного восстания; повстанец
Утилитарность,исключительная практичность
Эфирный,"Бесплотный, воздушный, неземной."
Декантер,Специальный графин для вина
Каюк,"Легкое судно продолговатой формы с плоским дном или грузовое одномачтовое судно, применявшееся на реках. В переносном значении — плохой конец какого-либо дела, смерть."
Филофони́я,Коллекционирование аудиозаписей на физических носителях.
Логистика,"система снабжения, транспортировки и хранения материальных запасов."
Алаверды́,"у кавказских народностей обращение в застолье к тому, кто должен продолжать тост"
Нанизм,крайне низкий (карликовый) рост человека (меньше 120-130см)
Одонтофобия,"навязчивый страх, боязнь обращения к стоматологу и лечения зубов"
Коллаборация,"Процесс совместной деятельности, например в интеллектуальной сфере, двух и более человек или организаций для достижения общих целей, при котором происходит обмен знаниями, обучение и достижение согласия.
Коллаборацией также называют совокупность участников процесса коллаборации."
Обсессия,"навязчивые и непреодолимые психические состояния, такие как: тягостные мысли и воспоминания, непроизвольные страхи, подавляющие волю сомнения и тд"
Хорея,болезненное непроизвольное сокращение мышц
Апатия,"Состояние, характерное эмоциональной пассивностью, безразличием"
Интерробанг,когда вы используете вопросительный и восклицательный знаки одновременно.
Итерация,повторное применение каких-либо действий с целью приближения более точного конечного результата
Клейм, Претензия покупателя к продавцу по поводу плохого качества проданного товара.
Прескевю ,"""на кончике языка"" - феномен, который заключается в неспособности вспомнить какое-либо хорошо знакомое слово. "
Тю́бинг,"Катание на надувных санках (тюбах) по снегу или по воде. В разговорной речи также ватрушка, надувные санки."
Диапозитив,"чёрно-белое или цветное изображение на прозрачной основе (плёнке, стекле)"
Эмансипация,"освобождение от какой-либо зависимости, уравнение в правах"
Пролайфер,"сторонник движения - пролайф, или движение «в защиту жизни», «в защиту человеческой жизни», «за жизнь», — переводы английского термина pro-life, которые обозначают общественное движение, нацеленное на запрет абортов, обусловленный правом на жизнь еще не рожденных детей. В более широком плане включает в себя защиту права человека на жизнь с момента зачатия, что означает серьезные ограничения (или запрет) на использование противозачаточных средств и экстракорпорального оплодотворения ."
Гендер," понятие, используемое в социальных науках для отображения социокультурного аспекта половой принадлежности человека"
